time,sensor_id,flood_risk
2023-05-29 11:00,EWS156,medium
2023-05-29 11:00,EWS164,medium
2023-05-29 11:00,EWS176,low
2023-05-29 11:00,EWS180,medium
2023-05-29 11:00,EWS182,medium
2023-05-29 11:00,EWS184,low
2023-05-29 11:00,EWS185,medium
2023-05-29 11:00,EWS186,medium
2023-05-29 11:00,EWS194,medium
2023-05-29 11:00,EWS196,medium
2023-05-29 11:00,EWS206,medium
2023-05-29 11:00,EWS218,medium
2023-05-29 11:00,EWS234,low
2023-05-29 11:00,EWS239,medium
2023-05-29 11:00,EWS242,medium
2023-05-29 11:00,EWS248,medium
2023-05-29 11:00,EWS249,low
2023-05-29 11:00,EWS250,medium
2023-05-29 11:00,EWS254,medium
2023-05-29 11:00,EWS275,medium
2023-05-29 11:00,EWS283,low
2023-05-29 11:00,EWS315,medium
2023-05-29 11:00,EWS323,low
2023-05-29 11:00,EWS334,medium
2023-05-29 11:00,EWS349,low
2023-05-29 11:00,EWS350,low
2023-05-29 11:00,EWS359,low
2023-05-29 11:00,EWS368,low
2023-05-29 11:00,EWS378,low
2023-05-29 11:00,EWS380,high
2023-05-29 11:00,EWS381,high
2023-05-29 11:00,EWS382,high
2023-05-29 11:00,EWS394,low
2023-05-29 11:00,EWS395,low
2023-05-29 11:00,WWS001,low
2023-05-29 11:00,WWS004,low
2023-05-29 11:00,WWS005,medium
2023-05-29 11:00,WWS016,medium
2023-05-29 11:00,WWS021,medium
2023-05-29 11:00,WWS037,medium
2023-05-29 11:00,WWS038,medium
2023-05-29 11:00,WWS040,low
2023-05-29 11:00,WWS042,medium
2023-05-29 11:00,WWS044,medium
2023-05-29 11:00,WWS045,low
2023-05-29 11:00,WWS060,low
2023-05-29 11:00,WWS078,medium
2023-05-29 11:00,WWS080,medium
2023-05-29 11:00,WWS081,low
2023-05-29 11:00,WWS089,low
2023-05-29 11:00,WWS091,medium
2023-05-29 11:00,WWS094,low
2023-05-29 11:00,WWS096,low
2023-05-29 11:00,WWS098,medium
2023-05-29 11:00,WWS103,medium
2023-05-29 11:00,WWS107,low
2023-05-29 11:00,WWS108,medium
2023-05-29 11:00,WWS110,medium
2023-05-29 11:00,WWS112,medium
2023-05-29 11:00,WWS113,low
2023-05-29 11:00,WWS114,low
2023-05-29 11:00,WWS116,low
2023-05-29 11:00,WWS117,low
2023-05-29 11:00,WWS120,high
2023-05-29 11:00,WWS122,low
2023-05-29 11:00,WWS127,medium
2023-05-29 11:00,WWS132,medium
2023-05-29 11:00,WWS133,medium
2023-05-29 11:00,WWS137,medium
2023-05-29 11:00,WWS140,medium
2023-05-29 11:00,WWS142,medium
2023-05-29 11:00,WWS144,medium
2023-05-29 11:00,WWS149,medium
2023-05-29 11:00,WWS151,low
2023-05-29 11:00,WWS157,low
2023-05-29 11:00,WWS164,low
2023-05-29 11:00,WWS176,low
2023-05-29 11:00,WWS180,medium
2023-05-29 11:00,WWS181,low
2023-05-29 11:00,WWS183,low
2023-05-29 11:00,WWS186,low
2023-05-29 11:00,WWS189,low
2023-05-29 11:00,WWS197,low
2023-05-29 11:00,WWS198,medium
2023-05-29 11:00,WWS203,low
2023-05-29 11:00,WWS204,low
2023-05-29 11:00,WWS216,medium
2023-05-29 11:00,WWS281,medium
2023-05-29 11:00,WWS285,high
2023-05-29 11:00,WWS307,low
2023-05-29 11:00,WWS309,low
2023-05-29 11:00,WWS312,medium
2023-05-29 11:00,WWS315,medium
2023-05-29 11:00,WWS321,low
2023-05-29 11:00,WWS375,medium
2023-05-29 11:00,WWS382,medium
2023-05-29 11:00,WWS387,medium
2023-05-29 11:00,WWS398,medium
2023-05-29 11:00,WWS403,medium
2023-05-29 11:00,WWS412,low
2023-05-29 11:00,WWS413,medium
2023-05-29 11:00,WWS416,low
2023-05-29 11:00,WWS418,low
2023-05-29 11:00,WWS450,medium
2023-05-29 11:00,WWS454,medium
2023-05-29 11:00,WWS459,medium
2023-05-29 11:00,WWS468,high
2023-05-29 12:00,CWS001,medium
2023-05-29 12:00,CWS014,medium
2023-05-29 12:00,CWS020,low
2023-05-29 12:00,CWS026,medium
