sensor_id,site_name,lon,lat,flood_risk,flood_time
CWS220,Puay Hee Ave/ Siak Kew Ave,103.8702,1.3298,high,2023-05-29 05:00|2023-05-29 06:00|2023-05-29 07:00|2023-05-29 08:00|2023-05-29 08:00|2023-05-29 10:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 19:00|2023-05-29 19:00|2023-05-29 20:00|2023-05-29 21:00|2023-05-29 22:00|2023-05-29 23:00|2023-05-30 01:00|2023-05-30 02:00|2023-05-30 02:00|2023-05-30 03:00|2023-05-30 04:00
CWS222,Happy Ave North/ Happy Ave Ctrl,103.8811,1.3311,high,2023-05-29 05:00|2023-05-29 06:00|2023-05-29 07:00|2023-05-29 08:00|2023-05-29 08:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 19:00|2023-05-29 19:00|2023-05-29 20:00|2023-05-29 22:00|2023-05-29 23:00|2023-05-30 01:00|2023-05-30 02:00|2023-05-30 02:00|2023-05-30 03:00|2023-05-30 04:00
CWS226,Marine Parade Central/Marine Parade Rd,103.907,1.303,low,
CWS227,Jln Lokam/ Upp Paya Lebar Rd,103.8819,1.3455,high,2023-05-29 10:00|2023-05-30 00:00|2023-05-30 01:00
CWS228,Langsat Rd/ Lor 105 Changi,103.9028,1.3154,medium,
CWS233,Upper Hokien St (Fook Hai Building),103.8463,1.2853,medium,
CWS234,Upper Pickering St / New Bridge Rd,103.8458,1.2861,low,
CWS240,Adam Rd OD (Dunearn Rd),103.8138,1.3244,low,
CWS242,Jln Unggas OD (Jln Tempua),103.8184,1.3231,high,2023-05-29 13:00|2023-05-29 14:00
CWS247,Joan Rd OD (Lornie Rd),103.8358,1.3411,low,
CWS260,Macpherson OD (Kolam Ayer CC),103.8692,1.3243,medium,
CWS272,Pelton Canal (Merpati Rd),103.8847,1.327,low,
CWS276,Playfair OD (Harper Rd),103.8865,1.3348,medium,
CWS277,Playfair OD (Macpherson Rd),103.8871,1.3329,low,
CWS282,Marina East OD (ECP Service Rd),103.8879,1.2944,medium,
CWS300,AMK OD7 (Bishan-AMK Pk),103.8494,1.3619,medium,
CWS302,AMK OD8 A (AMK Ave 1),103.8524,1.3592,medium,
CWS312,Kallang River (Blk114 Potong Pasir)),103.8637,1.3373,high,2023-05-29 11:00|2023-05-29 13:00|2023-05-29 17:00|2023-05-29 19:00|2023-05-29 21:00|2023-05-29 22:00
CWS326,Alexandra Canal SD A (Opp Alexis Condo),103.8081,1.2914,medium,
CWS327,Aljunied Rd (Hong Leong NKF),103.8819,1.3204,high,2023-05-29 10:00|2023-05-29 11:00
CWS333,Mountbatten Rd / Tanjong Katong Rd,103.8967,1.302,low,
CWS339,River Valley Rd/Oxley Rd,103.8401,1.296,low,
CWS391,Alexandra Canal SD B (Redhill Rd),103.8173,1.2877,low,
CWS394,Alexandra Canal SD B (Alexandra Rd u/s culvert),103.8193,1.2911,medium,
CWS396,Alexandra Canal SD C (Gan Eng Seng Sch),103.8232,1.2905,medium,
CWS397,Dunearn Rd (Watten Pk/Watten Dr),103.8074,1.3267,low,
CWS421,Bishopgate OD (Bishopgate Rd/Jervois Rd),103.8221,1.2954,medium,
CWS431,Wan Tho Ave (Unit 11),103.8708,1.3323,low,
CWS433,Lor 2 Toa Payoh (Braddell MRT),103.8469,1.3405,high,2023-05-29 10:00|2023-05-29 10:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-30 01:00
CWS447,Tg Katong Rd South OD (ECP Service Rd),103.8983,1.2961,medium,
CWS454,Kallang River (Bendemeer Rd),103.8676,1.3231,high,2023-05-29 09:00|2023-05-29 12:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 21:00|2023-05-29 22:00
CWS460,Joo Chiat SD (Dunman Rd),103.9003,1.3097,medium,
CWS462,Joo Chiat SD (Ceylon Rd),103.9,1.3093,low,
CWS487,Woollerton Dr (u/s culvert),103.8098,1.3171,low,
CWS488,Woollerton Dr/Gallop Pk Rd,103.81,1.3173,low,
EWS004,Bedok Canal (Upper Changi Rd),103.949,1.334,medium,
EWS005,Bedok North Ave 3,103.9338,1.3356,low,
EWS007,Meng Suan OD (Mandai Rd),103.8173,1.4025,high,2023-05-29 05:00|2023-05-29 06:00|2023-05-29 07:00|2023-05-29 08:00|2023-05-29 08:00|2023-05-29 09:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 19:00|2023-05-29 20:00
EWS009,Sg Simpang Kiri (Sembawang OD No. 2),103.834,1.4489,low,
EWS011,Siglap Canal (Frankel Walk),103.9143,1.3171,medium,
EWS015,Sg Serangoon Branch (Hougang Ave 7),103.896,1.3627,medium,
